,symbol,date,volume,market.cap,sector,industry,exchange
1,TXG,12/09/2019,7326300,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
2,TXG,13/09/2019,1025200,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
3,TXG,16/09/2019,269900,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
4,TXG,17/09/2019,602800,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
5,TXG,18/09/2019,1589600,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
6,TXG,19/09/2019,425200,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
7,TXG,20/09/2019,392000,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
8,TXG,23/09/2019,137200,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
9,TXG,24/09/2019,713800,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
10,TXG,25/09/2019,261200,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
11,TXG,26/09/2019,596300,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
12,TXG,27/09/2019,621300,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
13,TXG,30/09/2019,168900,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
14,TXG,01/10/2019,536300,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
15,TXG,02/10/2019,519600,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
16,TXG,03/10/2019,703900,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
17,TXG,04/10/2019,322400,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
